USPS	GEOID	ANSICODE	NAME	LSAD	FUNCSTAT	ALAND	AWATER	ALAND_SQMI	AWATER_SQMI	INTPTLAT	INTPTLONG                                                                                                 
TX	4800100	02409653	Abbott city	25	A	1532748	3191	0.592	0.001	31.885139	-97.074106                                                                                                                      
TX	4800160	02409656	Abernathy city	25	A	8294232	12572	3.202	0.005	33.826811	-101.85205                                                                                                                  
TX	4801000	02409657	Abilene city	25	A	276270544	14051306	106.669	5.425	32.454514	-99.738147                                                                                                             
TX	4801060	02584598	Abram CDP	57	S	7938808	89253	3.065	0.034	26.211634	-98.41185                                                                                                                        
TX	4801084	02805795	Acala CDP	57	S	7359831	0	2.842	0.	31.334406	-105.902786                                                                                                                             
TX	4801108	02409659	Ackerly city	25	A	805187	0	0.311	0.	32.525063	-101.715847                                                                                                                           
TX	4801240	02412335	Addison town	43	A	11273468	8702	4.353	0.003	32.963744	-96.833805                                                                                                                    
TX	4801324	02409665	Adrian city	25	A	1217792	0	0.47	0.	35.274119	-102.667247                                                                                                                            
TX	4801390	02407698	Agua Dulce CDP	57	S	20194254	0	7.797	0.	31.654853	-106.136903                                                                                                                       
TX	4801396	02409667	Agua Dulce city	25	A	883360	0	0.341	0.	27.78273	-97.90985                                                                                                                           
TX	4801420	02584599	Aguilares CDP	57	S	777052	0	0.3	0.	27.451627	-99.093233                                                                                                                             
TX	4801500	02584600	Airport Heights CDP	57	S	102481	0	0.04	0.	26.408735	-98.836695                                                                                                                      
TX	4801514	02407702	Airport Road Addition CDP	57	S	5475252	0	2.114	0.	27.218988	-98.098093                                                                                                              
TX	4801576	02409670	Alamo city	25	A	19820927	0	7.653	0.	26.180987	-98.11753                                                                                                                             
TX	4801594	02805751	Alamo Beach CDP	57	S	1959377	335235	0.757	0.129	28.572277	-96.564179                                                                                                                
TX	4801600	02409671	Alamo Heights city	25	A	4767672	0	1.841	0.	29.482803	-98.468191                                                                                                                     
TX	4801612	02805780	Alanreed CDP	57	S	1191506	597	0.46	0.	35.211987	-100.732629                                                                                                                         
TX	4801636	02412341	Alba town	43	A	2726709	17060	1.053	0.007	32.786667	-95.632463                                                                                                                       
TX	4801648	02409676	Albany city	25	A	4057325	0	1.567	0.	32.727266	-99.295664                                                                                                                            
TX	4801696	02407715	Aldine CDP	57	S	20387643	38208	7.872	0.015	29.913438	-95.377431                                                                                                                     
TX	4801744	02409679	Aledo city	25	A	7434167	0	2.87	0.	32.698254	-97.608384                                                                                                                              
TX	4801816	02584601	Alfred CDP	57	S	3203175	0	1.237	0.	27.874076	-97.979863                                                                                                                             
TX	4801852	02409682	Alice city	25	A	31060212	1519590	11.992	0.587	27.755616	-98.065812                                                                                                                  
TX	4801858	02407719	Alice Acres CDP	57	S	15267641	0	5.895	0.	27.711892	-98.107973                                                                                                                       
TX	4801924	02409684	Allen city	25	A	68380729	210112	26.402	0.081	33.109736	-96.673032                                                                                                                   
TX	4802032	02805849	Allison CDP	57	S	5276664	0	2.037	0.	35.61198	-100.111539                                                                                                                            
TX	4802044	02412351	Alma town	43	A	14188131	42005	5.478	0.016	32.276227	-96.543181                                                                                                                      
TX	4802104	02409685	Alpine city	25	A	12500810	1688	4.827	0.001	30.363905	-103.664456                                                                                                                    
TX	4802188	02412356	Alto town	43	A	4415458	0	1.705	0.	31.650982	-95.070785                                                                                                                              
TX	4802194	02584602	Alto Bonito Heights CDP	57	S	133278	0	0.051	0.	26.315777	-98.641329                                                                                                                 
TX	4802212	02409687	Alton city	25	A	19676297	8748	7.597	0.003	26.288775	-98.310581                                                                                                                      
TX	4802260	02409691	Alvarado city	25	A	17544861	1860416	6.774	0.718	32.409379	-97.210786                                                                                                                
TX	4802272	02409692	Alvin city	25	A	59330906	2323394	22.908	0.897	29.424772	-95.224432                                                                                                                  
TX	4802284	02412358	Alvord town	43	A	3944172	0	1.523	0.	33.356968	-97.696026                                                                                                                            
TX	4802286	02584603	Amada Acres CDP	57	S	187160	0	0.072	0.	26.343268	-98.739267                                                                                                                         
TX	4802290	02586907	Amargosa CDP	57	S	3459515	0	1.336	0.	27.892949	-98.108861                                                                                                                           
TX	4803000	02409694	Amarillo city	25	A	268368503	4030310	103.618	1.556	35.198064	-101.833107                                                                                                            
TX	4803008	02586908	Amaya CDP	57	S	594086	1192	0.229	0.	28.713886	-99.835838                                                                                                                            
TX	4803072	02409698	Ames city	25	A	8554451	0	3.303	0.	30.045078	-94.737316                                                                                                                              
TX	4803084	02409699	Amherst city	25	A	2368726	0	0.915	0.	34.011982	-102.414776                                                                                                                          
TX	4803096	02584604	Amistad CDP	57	S	3912009	0	1.51	0.	29.524493	-101.15305                                                                                                                             
